Human_Path_Length,Shortest_Path_Length,Ratio
8,3,2.6666666666666665
4,3,1.3333333333333333
7,3,2.3333333333333335
3,2,1.5
6,3,2.0
5,3,1.6666666666666667
3,3,1.0
5,3,1.6666666666666667
3,3,1.0
6,3,2.0
10,3,3.3333333333333335
9,3,3.0
4,3,1.3333333333333333
7,3,2.3333333333333335
4,3,1.3333333333333333
4,3,1.3333333333333333
4,3,1.3333333333333333
9,3,3.0
7,3,2.3333333333333335
7,3,2.3333333333333335
7,3,2.3333333333333335
6,3,2.0
3,3,1.0
3,3,1.0
4,3,1.3333333333333333
9,3,3.0
3,3,1.0
6,3,2.0
3,3,1.0
3,3,1.0
4,3,1.3333333333333333
4,3,1.3333333333333333
7,3,2.3333333333333335
3,3,1.0
5,3,1.6666666666666667
5,3,1.6666666666666667
13,2,6.5
3,2,1.5
5,2,2.5
5,2,2.5
3,2,1.5
6,3,2.0
5,3,1.6666666666666667
5,3,1.6666666666666667
6,3,2.0
6,3,2.0
4,3,1.3333333333333333
4,3,1.3333333333333333
5,3,1.6666666666666667
3,3,1.0
3,2,1.5
9,4,2.25
6,5,1.2
7,3,2.3333333333333335
4,3,1.3333333333333333
3,1,3.0
16,2,8.0
5,2,2.5
4,2,2.0
5,2,2.5
3,2,1.5
5,2,2.5
2,2,1.0
4,2,2.0
3,2,1.5
4,3,1.3333333333333333
5,2,2.5
3,2,1.5
5,2,2.5
3,2,1.5
3,2,1.5
5,3,1.6666666666666667
5,4,1.25
9,4,2.25
5,3,1.6666666666666667
4,3,1.3333333333333333
3,2,1.5
4,3,1.3333333333333333
7,3,2.3333333333333335
3,3,1.0
3,3,1.0
4,2,2.0
4,2,2.0
3,2,1.5
4,3,1.3333333333333333
3,3,1.0
6,4,1.5
8,4,2.0
7,4,1.75
6,4,1.5
17,4,4.25
5,4,1.25
5,4,1.25
4,4,1.0
14,4,3.5
5,4,1.25
5,4,1.25
6,4,1.5
6,4,1.5
5,4,1.25
4,4,1.0
9,4,2.25
5,4,1.25
4,4,1.0
6,4,1.5
12,4,3.0
5,4,1.25
6,4,1.5
4,3,1.3333333333333333
4,3,1.3333333333333333
5,2,2.5
4,2,2.0
2,2,1.0
4,2,2.0
2,2,1.0
6,2,3.0
3,2,1.5
4,2,2.0
3,2,1.5
2,2,1.0
2,2,1.0
5,2,2.5
6,3,2.0
4,3,1.3333333333333333
3,3,1.0
6,3,2.0
8,4,2.0
6,4,1.5
3,3,1.0
12,4,3.0
9,4,2.25
9,4,2.25
7,4,1.75
7,4,1.75
5,3,1.6666666666666667
6,3,2.0
5,3,1.6666666666666667
3,3,1.0
5,4,1.25
7,4,1.75
16,4,4.0
5,4,1.25
16,4,4.0
8,4,2.0
5,4,1.25
5,4,1.25
5,4,1.25
6,4,1.5
5,4,1.25
5,4,1.25
6,4,1.5
5,4,1.25
5,4,1.25
5,4,1.25
6,4,1.5
5,4,1.25
7,4,1.75
9,4,2.25
4,4,1.0
11,4,2.75
6,4,1.5
4,4,1.0
4,4,1.0
5,4,1.25
5,4,1.25
4,4,1.0
4,4,1.0
4,4,1.0
5,4,1.25
4,4,1.0
4,4,1.0
10,4,2.5
5,4,1.25
4,4,1.0
5,4,1.25
4,4,1.0
7,4,1.75
4,4,1.0
5,4,1.25
4,4,1.0
10,4,2.5
4,4,1.0
4,4,1.0
4,4,1.0
6,4,1.5
6,4,1.5
4,4,1.0
4,4,1.0
4,4,1.0
4,4,1.0
4,4,1.0
7,4,1.75
4,4,1.0
4,4,1.0
4,4,1.0
4,4,1.0
4,4,1.0
8,4,2.0
14,4,3.5
4,4,1.0
4,4,1.0
6,4,1.5
9,5,1.8
9,5,1.8
2,2,1.0
4,2,2.0
3,2,1.5
7,2,3.5
4,2,2.0
4,2,2.0
